index,sex,strategy,low,medium,high
40,male,strategy1,159,8,62
45,male,strategy1,173,64,207
50,male,strategy1,188,63,171
55,male,strategy1,200,89,121
60,male,strategy1,129,89,104
65,male,strategy1,71,42,47
70,male,strategy1,48,28,40
40,female,strategy1,444,6,48
45,female,strategy1,738,18,100
50,female,strategy1,677,20,125
55,female,strategy1,440,217,185
60,female,strategy1,216,164,139
65,female,strategy1,128,136,130
70,female,strategy1,65,55,67
40,male,strategy2,163,50,16
45,male,strategy2,212,168,64
50,male,strategy2,106,231,85
55,male,strategy2,35,210,165
60,male,strategy2,5,81,236
65,male,strategy2,1,15,144
70,male,strategy2,0,3,113
40,female,strategy2,478,17,3
45,female,strategy2,734,108,14
50,female,strategy2,537,238,47
55,female,strategy2,277,433,132
60,female,strategy2,44,282,193
65,female,strategy2,4,104,286
70,female,strategy2,0,23,164
40,male,strategy3,0,0,0
45,male,strategy3,0,0,0
50,male,strategy3,106,231,85
55,male,strategy3,35,210,165
60,male,strategy3,5,81,236
65,male,strategy3,1,15,144
70,male,strategy3,0,3,113
40,female,strategy3,0,0,0
45,female,strategy3,0,0,0
50,female,strategy3,537,238,47
55,female,strategy3,277,433,132
60,female,strategy3,44,282,193
65,female,strategy3,4,104,286
70,female,strategy3,0,23,164
