index,sex,strategy,low,medium,high
40,male,strategy1,0.694323144,0.034934498,0.270742358
45,male,strategy1,0.38963964,0.144144144,0.466216216
50,male,strategy1,0.44549763,0.1492891,0.40521327
55,male,strategy1,0.487804878,0.217073171,0.295121951
60,male,strategy1,0.400621118,0.276397516,0.322981366
65,male,strategy1,0.44375,0.2625,0.29375
70,male,strategy1,0.413793103,0.24137931,0.344827586
40,female,strategy1,0.891566265,0.012048193,0.096385542
45,female,strategy1,0.862149533,0.021028037,0.11682243
50,female,strategy1,0.823600973,0.0243309,0.152068127
55,female,strategy1,0.522565321,0.257719715,0.219714964
60,female,strategy1,0.416184971,0.315992293,0.267822736
65,female,strategy1,0.324873096,0.345177665,0.329949239
70,female,strategy1,0.347593583,0.294117647,0.35828877
40,male,strategy2,0.711790393,0.218340611,0.069868996
45,male,strategy2,0.477477477,0.378378378,0.144144144
50,male,strategy2,0.251184834,0.547393365,0.201421801
55,male,strategy2,0.085365854,0.512195122,0.402439024
60,male,strategy2,0.01552795,0.251552795,0.732919255
65,male,strategy2,0.00625,0.09375,0.9
70,male,strategy2,0,0.025862069,0.974137931
40,female,strategy2,0.959839357,0.034136546,0.006024096
45,female,strategy2,0.857476636,0.126168224,0.01635514
50,female,strategy2,0.653284672,0.289537713,0.057177616
55,female,strategy2,0.328978622,0.514251781,0.156769596
60,female,strategy2,0.08477842,0.543352601,0.371868979
65,female,strategy2,0.010152284,0.263959391,0.725888325
70,female,strategy2,0,0.122994652,0.877005348
40,male,strategy3,0,0,0
45,male,strategy3,0,0,0
50,male,strategy3,0.251184834,0.547393365,0.201421801
55,male,strategy3,0.085365854,0.512195122,0.402439024
60,male,strategy3,0.01552795,0.251552795,0.732919255
65,male,strategy3,0.00625,0.09375,0.9
70,male,strategy3,0,0.025862069,0.974137931
40,female,strategy3,0,0,0
45,female,strategy3,0,0,0
50,female,strategy3,0.653284672,0.289537713,0.057177616
55,female,strategy3,0.08477842,0.543352601,0.371868979
60,female,strategy3,0.08477842,0.543352601,0.371868979
65,female,strategy3,0.010152284,0.263959391,0.725888325
70,female,strategy3,0,0.122994652,0.877005348
